date,equity
2024-08-08,1004018.6915505888
2024-08-09,1004018.6915505888
2024-08-13,1004018.6915505888
2024-08-14,1004018.6915505888
2024-08-15,1004018.6915505888
2024-08-16,1004018.6915505888
2024-08-19,1004018.6915505888
2024-08-20,1004018.6915505888
2024-08-21,1004018.6915505888
2024-08-22,1004018.6915505888
2024-08-23,1004018.6915505888
2024-08-26,1004018.6915505888
2024-08-27,1004018.6915505888
2024-08-28,1004018.6915505888
2024-08-29,1004018.6915505888
2024-08-30,1004018.6915505888
2024-09-02,1004018.6915505888
2024-09-03,1004018.6915505888
2024-09-04,1004018.6915505888
2024-09-05,1004018.6915505888
2024-09-06,1004018.6915505888
2024-09-09,1004018.6915505888
2024-09-10,1004018.6915505888
2024-09-11,1004018.6915505888
2024-09-12,1004018.6915505888
2024-09-13,1004018.6915505888
2024-09-17,1004018.6915505888
2024-09-18,1004018.6915505888
2024-09-19,1004018.6915505888
2024-09-20,1004018.6915505888
2024-09-24,1004018.6915505888
2024-09-25,1004018.6915505888
2024-09-26,1004018.6915505888
2024-09-27,1004018.6915505888
2024-09-30,1004018.6915505888
2024-10-01,1004018.6915505888
2024-10-02,1004018.6915505888
2024-10-03,1004018.6915505888
2024-10-04,1004018.6915505888
2024-10-07,1004018.6915505888
2024-10-08,1004018.6915505888
2024-10-09,1004018.6915505888
2024-10-10,1004018.6915505888
2024-10-11,1004018.6915505888
2024-10-15,1004018.6915505888
2024-10-16,1004018.6915505888
2024-10-17,1004018.6915505888
2024-10-18,1004018.6915505888
2024-10-21,1004018.6915505888
2024-10-22,1004018.6915505888
2024-10-23,1004018.6915505888
2024-10-24,1004018.6915505888
2024-10-25,1004018.6915505888
2024-10-28,1004018.6915505888
2024-10-29,1004018.6915505888
2024-10-30,1004018.6915505888
2024-10-31,1004018.6915505888
2024-11-01,1004018.6915505888
2024-11-05,1004018.6915505888
2024-11-06,1004018.6915505888
2024-11-07,1004018.6915505888
2024-11-08,1004018.6915505888
2024-11-11,1004018.6915505888
2024-11-12,1004018.6915505888
2024-11-13,1004018.6915505888
2024-11-14,1004018.6915505888
2024-11-15,1004018.6915505888
2024-11-18,1004018.6915505888
2024-11-19,1004018.6915505888
2024-11-20,1004018.6915505888
2024-11-21,1004018.6915505888
2024-11-22,1004018.6915505888
2024-11-25,1004018.6915505888
2024-11-26,1004018.6915505888
2024-11-27,1004018.6915505888
2024-11-28,1004018.6915505888
2024-11-29,1004018.6915505888
2024-12-02,1004018.6915505888
2024-12-03,1004018.6915505888
2024-12-04,1003618.9695505889
2024-12-05,1003618.9695505889
2024-12-06,1004186.6573630888
2024-12-09,1004186.6573630888
2024-12-10,1004186.6573630888
2024-12-11,1004186.6573630888
2024-12-12,1004186.6573630888
2024-12-13,1004186.6573630888
2024-12-16,1004186.6573630888
2024-12-17,1004186.6573630888
2024-12-18,1004186.6573630888
2024-12-19,1004186.6573630888
2024-12-20,1004186.6573630888
2024-12-23,1004186.6573630888
2024-12-24,1004186.6573630888
2024-12-25,1004186.6573630888
2024-12-26,1004186.6573630888
2024-12-27,1004186.6573630888
2024-12-30,1004186.6573630888
2025-01-06,1003786.6799477446
2025-01-07,1003786.6799477446
2025-01-08,1003386.9579477445
2025-01-09,1003386.9579477445
2025-01-10,1003386.9579477445
2025-01-14,1003386.9579477445
2025-01-15,1003386.9579477445
2025-01-16,1003386.9579477445
2025-01-17,1003386.9579477445
2025-01-20,1003386.9579477445
2025-01-21,1003386.9579477445
2025-01-22,1003386.9579477445
2025-01-23,1003386.9579477445
2025-01-24,1003386.9579477445
2025-01-27,1003386.9579477445
2025-01-28,1003386.9579477445
2025-01-29,1003386.9579477445
2025-01-30,1003386.9579477445
2025-01-31,1003386.9579477445
2025-02-03,1003386.9579477445
2025-02-04,1003386.9579477445
2025-02-05,1003386.9579477445
2025-02-06,1003386.9579477445
2025-02-07,1003386.9579477445
2025-02-10,1003386.9579477445
2025-02-12,1003386.9579477445
2025-02-13,1003386.9579477445
2025-02-14,1003386.9579477445
2025-02-17,1003386.9579477445
2025-02-18,1003386.9579477445
2025-02-19,1003386.9579477445
2025-02-20,1003386.9579477445
2025-02-21,1003386.9579477445
2025-02-25,1003386.9579477445
2025-02-26,1003386.9579477445
2025-02-27,1003386.9579477445
2025-02-28,1003386.9579477445
2025-03-03,1003386.9579477445
2025-03-04,1003386.9579477445
2025-03-05,1003386.9579477445
2025-03-06,1003386.9579477445
2025-03-07,1003386.9579477445
2025-03-10,1003386.9579477445
2025-03-11,1003386.9579477445
2025-03-12,1003386.9579477445
2025-03-13,1003386.9579477445
2025-03-14,1003386.9579477445
2025-03-17,1003386.9579477445
2025-03-18,1003386.9579477445
2025-03-19,1003386.9579477445
2025-03-21,1003386.9579477445
2025-03-24,1003386.9579477445
2025-03-25,1003386.9579477445
2025-03-26,1003386.9579477445
2025-03-27,1003386.9579477445
2025-03-28,1003386.9579477445
2025-03-31,1003386.9579477445
2025-04-01,1003386.9579477445
2025-04-02,1003386.9579477445
2025-04-03,1003386.9579477445
2025-04-04,1003386.9579477445
2025-04-07,1003386.9579477445
2025-04-08,1003386.9579477445
2025-04-09,1003386.9579477445
2025-04-10,1003386.9579477445
2025-04-11,1003386.9579477445
2025-04-14,1003386.9579477445
2025-04-15,1003386.9579477445
2025-04-16,1003386.9579477445
2025-04-17,1003386.9579477445
2025-04-18,1003386.9579477445
2025-04-21,1003386.9579477445
2025-04-22,1003386.9579477445
2025-04-23,1003386.9579477445
2025-04-24,1003386.9579477445
2025-04-25,1003386.9579477445
2025-04-28,1003386.9579477445
2025-04-30,1003386.9579477445
2025-05-01,1003386.9579477445
2025-05-02,1003386.9579477445
2025-05-07,1003386.9579477445
2025-05-08,1003386.9579477445
2025-05-09,1003386.9579477445
2025-05-12,1003386.9579477445
2025-05-13,1003386.9579477445
2025-05-14,1002987.1029477445
2025-05-15,1002987.1029477445
2025-05-16,1002987.1029477445
2025-05-19,1002987.1029477445
2025-05-20,1002987.1029477445
2025-05-21,1002987.1029477445
2025-05-22,1002987.1029477445
2025-05-23,1002987.1029477445
2025-05-26,1002987.1029477445
2025-05-27,1002987.1029477445
2025-05-28,1002987.1029477445
2025-05-29,1002987.1029477445
2025-05-30,1005085.1007735232
2025-06-02,1005085.1007735232
2025-06-03,1005085.1007735232
2025-06-04,1005085.1007735232
2025-06-05,1005085.1007735232
2025-06-06,1005085.1007735232
2025-06-09,1005085.1007735232
2025-06-10,1005085.1007735232
2025-06-11,1005085.1007735232
2025-06-12,1005085.1007735232
2025-06-13,1005085.1007735232
2025-06-16,1005085.1007735232
2025-06-17,1005085.1007735232
2025-06-18,1005085.1007735232
2025-06-19,1005085.1007735232
2025-06-20,1005085.1007735232
2025-06-23,1005085.1007735232
2025-06-24,1005085.1007735232
2025-06-25,1005085.1007735232
2025-06-26,1005085.1007735232
2025-06-27,1005085.1007735232
2025-06-30,1005085.1007735232
2025-07-01,1005085.1007735232
2025-07-02,1005085.1007735232
2025-07-03,1005085.1007735232
2025-07-04,1005085.1007735232
2025-07-07,1005085.1007735232
2025-07-08,1005085.1007735232
2025-07-09,1004685.3195890749
2025-07-10,1004685.3195890749
2025-07-11,1004685.3195890749
2025-07-14,1004685.3195890749
2025-07-15,1004685.3195890749
2025-07-16,1004685.3195890749
2025-07-17,1004685.3195890749
2025-07-18,1004685.3195890749
2025-07-22,1004685.3195890749
2025-07-23,1004685.3195890749
2025-07-24,1004685.3195890749
2025-07-25,1004685.3195890749
2025-07-28,1004685.3195890749
2025-07-29,1004685.3195890749
2025-07-30,1004685.3195890749
2025-07-31,1004685.3195890749
2025-08-01,1004685.3195890749
2025-08-04,1004685.3195890749
2025-08-05,1004685.3195890749
2025-08-06,1004685.3195890749
2025-08-07,1004685.3195890749
2025-08-08,1004685.3195890749
2025-08-12,1004685.3195890749
2025-08-13,1004685.3195890749
2025-08-14,1004685.3195890749
2025-08-15,1005100.1370890749
2025-08-18,1005100.1370890749
2025-08-19,1005100.1370890749
2025-08-20,1005100.1370890749
2025-08-21,1005100.1370890749
2025-08-22,1005100.1370890749
2025-08-25,1005100.1370890749
2025-08-26,1005100.1370890749
2025-08-27,1005100.1370890749
2025-08-28,1005100.1370890749
2025-08-29,1005100.1370890749
2025-09-01,1005100.1370890749
2025-09-02,1005100.1370890749
2025-09-03,1005100.1370890749
2025-09-04,1005100.1370890749
2025-09-05,1005100.1370890749
2025-09-08,1005100.1370890749
2025-09-09,1005100.1370890749
2025-09-10,1005100.1370890749
2025-09-11,1005100.1370890749
2025-09-12,1005100.1370890749
2025-09-16,1005647.5124978579
2025-09-17,1005647.5124978579
2025-09-18,1005247.6909054507
2025-09-19,1005247.6909054507
2025-09-22,1005247.6909054507
2025-09-24,1005247.6909054507
2025-09-25,1005247.6909054507
2025-09-26,1005247.6909054507
2025-09-29,1005247.6909054507
2025-09-30,1005247.6909054507
2025-10-01,1005247.6909054507
2025-10-02,1005247.6909054507
2025-10-03,1005247.6909054507
2025-10-06,1005247.6909054507
2025-10-07,1005247.6909054507
2025-10-08,1005247.6909054507
2025-10-09,1005247.6909054507
2025-10-10,1005247.6909054507
2025-10-14,1005247.6909054507
2025-10-15,1005247.6909054507
2025-10-16,1005247.6909054507
2025-10-17,1005247.6909054507
2025-10-20,1005147.7594054507
2025-10-21,1006429.8442237338
2025-10-22,1006429.8442237338
2025-10-23,1006429.8442237338
