code,ticker_code,name,market_product_category,source_date
2146,2146.T,UTグループ,プライム（内国株式）,2026-02-28
2148,2148.T,アイティメディア,プライム（内国株式）,2026-02-28
2152,2152.T,幼児活動研究会,スタンダード（内国株式）,2026-02-28
2153,2153.T,E・Jホールディングス,プライム（内国株式）,2026-02-28
2154,2154.T,オープンアップグループ,プライム（内国株式）,2026-02-28
2156,2156.T,セーラー広告,スタンダード（内国株式）,2026-02-28
2157,2157.T,コシダカホールディングス,プライム（内国株式）,2026-02-28
2162,2162.T,nms ホールディングス,スタンダード（内国株式）,2026-02-28
2163,2163.T,アルトナー,プライム（内国株式）,2026-02-28
2168,2168.T,パソナグループ,プライム（内国株式）,2026-02-28
2169,2169.T,CDS,スタンダード（内国株式）,2026-02-28
2170,2170.T,リンクアンドモチベーション,プライム（内国株式）,2026-02-28
2175,2175.T,エス・エム・エス,プライム（内国株式）,2026-02-28
2179,2179.T,成学社,スタンダード（内国株式）,2026-02-28
2180,2180.T,サニーサイドアップグループ,スタンダード（内国株式）,2026-02-28
2181,2181.T,パーソルホールディングス,プライム（内国株式）,2026-02-28
2183,2183.T,リニカル,スタンダード（内国株式）,2026-02-28
2185,2185.T,シイエム・シイ,スタンダード（内国株式）,2026-02-28
2186,2186.T,ソーバル,スタンダード（内国株式）,2026-02-28
2193,2193.T,クックパッド,スタンダード（内国株式）,2026-02-28
2196,2196.T,エスクリ,スタンダード（内国株式）,2026-02-28
2198,2198.T,アイ・ケイ・ケイホールディングス,プライム（内国株式）,2026-02-28
2201,2201.T,森永製菓,プライム（内国株式）,2026-02-28
2204,2204.T,中村屋,スタンダード（内国株式）,2026-02-28
2206,2206.T,江崎グリコ,プライム（内国株式）,2026-02-28
2207,2207.T,meito,プライム（内国株式）,2026-02-28
2208,2208.T,ブルボン,スタンダード（内国株式）,2026-02-28
2209,2209.T,井村屋グループ,プライム（内国株式）,2026-02-28
220A,220A.T,Faber Company,スタンダード（内国株式）,2026-02-28
2211,2211.T,不二家,プライム（内国株式）,2026-02-28
2212,2212.T,山崎製パン,プライム（内国株式）,2026-02-28
2215,2215.T,第一屋製パン,スタンダード（内国株式）,2026-02-28
2216,2216.T,カンロ,スタンダード（内国株式）,2026-02-28
